""""sw"""",""""ar"""",""""bg"""",""""ca"""",""""cs"""",""""da"""",""""de"""",""""el"""",""""en"""",""""en-GB"""",""""es-419"""",""""es"""",""""fi"""",""""fil"""",""""fr"""",""""hi"""",""""hr"""",""""hu"""",""""id"""",""""it"""",""""iw"""",""""ja"""",""""ko"""",""""lt"""",""""lv"""",""""nl"""",""""no"""",""""pl"""",""""pt-BR"""",""""pt-PT"""",""""ro"""",""""ru"""",""""sk"""",""""sl"""",""""sr"""",""""sv"""",""""th"""",""""tr"""",""""uk"""",""""vi"""",""""zh-CN"""",""""zh-TW"""",""""fa"""",""""pos"""",""""description"""",""""notes""""
"Hali ya ndege","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","A device setting for turning off all wireless radios on the device so that it can be used while on board an aircraft.",""
"","تقييم","оценка","puntuació","hodnocení","bedømmelse","Bewertung","αξιολόγηση","rating","rating","clasificación","clasificación","tähtiluokitus","rating","note","रेटिंग","ocjena","besorolás","peringkat","valutazione","דירוג","評価","등급","reitingas","vērtējums","score","rangering","ocena","classificação","classificação","evaluare","оценка","hodnotenie","ocena","оцена","betyg","คะแนน","derecelendirme","рейтинг","xếp hạng","评分","評分","","noun","Models and collections can be rated by users (star ratings)",""
"","صورة مائلة","скосено изображение","imatge obliqua","nakloněný snímek","skråtstillet billede","Schrägaufnahme","λοξή εικόνα","oblique image","oblique image","imagen oblicua","imagen oblicua","läpinäkymätön kuva","oblique na larawan","image oblique","तिरछी छवि","slika iz perspektive","ferde kép","citra miring","immagine obliqua","תמונה מוטה","斜めからの画像","경사 이미지","įžambus vaizdas","slīpleņķa attēls","zijdelingse afbeelding","skråbilde","zdjęcie skośne","imagem oblíqua","imagem oblíqua","imagine oblică","изображение под непрямым углом","naklonená snímka","poševna slika","слика под углом","bild med sned vinkel","ภาพถ่ายในแนวเอียง","eğik resim","зображення під непрямим кутом","hình ảnh nghiêng","斜面图像","斜面圖像","","noun","[BM] An image taken from some angle other than parallel (standing over) or perpendicular (standing in front of) to the subject.",""
"","نقطة ثابتة","крепеж","restricció","fixace","fiksering","Fixierung","περιορισμός","constraint","constraint","restricción","restricción","kiinnitetty kulma","naka-constrain","contrainte","स्थिर बिंदु","fiksna točka","rögzítés","kendala","punto bloccato","מקובע / מעוגן / נקודת השתלה","固定","고정점","apribojimas","fiksēts punkts","beperking","fiksering","blokada","restrição","ponto fixo (ANT: ponto livre)","punct fix","фиксированная точка","fixačný bod","fiksna točka","фиксирана тачка","fixering","จุดยึด","sınırlama","фіксована точка","điểm cố định","固定点","固定點","","noun","[BM] A point of a block that has been placed on a specific location, such as the corner of a building, in a 2D image. Points that are placed at a specific location do not move when other points are moved and are said to be constrained. Points that are not fixed are unconstrained. The color of a block is orange when all points are unconstrained, and blue when at least one point is constrained.",""
"","النقر للحصول على خيارات السياق","кликване с десен бутон","clic contextual","kontextové kliknutí","højreklikke","Kontextklick","δεξί κλικ","context click","context click","clic contextual","hacer clic con el botón derecho del ratón","kontekstiklikkaus","pag-click sa konteksto","clic contextuel","प्रसंग क्लिक","objektni klik","jobb kattintás","klik konteks","clic contestuale","לחיצת הקשר","右クリック","컨텍스트 클릭","kontekstinis paspaudimas","konteksta klikšķis","contextklik","høyreklikke","kliknięcie ~","clique contextual","menu de contexto do botão direito do rato","clic contextual","контекстный клик","kontextové kliknutie","kontekstni klik","контекстуални клик","högerklick","คลิกดูบริบท","bağlam tıklaması","контекстний клік","nhấp chuột theo ngữ cảnh","右键点击","右鍵點擊","","noun","[BM] The action of clicking the right mouse button while the cursor is over an element on the screen such as a block.",""
"","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","ΚΜΖ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","KMZ","","noun","A compressed version of a KML file.",""
"","نقطة","точка","punt","bod","punkt","Punkt","σημείο τομής","point","point","punto","punto","piste","punto","point","बिंदु","sjecište","pont","titik","punto","נקודה","ポイント","교점","sankirtos vieta","punkts","punt","punkt","punkt","ponto","ponto","colț","точка","bod","točka","тачка","punkt","จุดตัด","nokta","точка","điểm","交点","交叉點","","noun","[BM] The intersection of two or more lines in a block",""
"","النقر للحصول على خيارات السياق","кликване с десен бутон","clic contextual","kontextové kliknutí","højreklikke","Kontextklick","δεξί κλικ","context click","context click","clic contextual","hacer clic con el botón derecho del ratón","kontekstiklikkaus","pag-click sa konteksto","clic contextuel","प्रसंग क्लिक","objektni klik","jobb kattintás","klik konteks","clic contestuale","לחיצת הקשר","右クリック","컨텍스트 클릭","kontekstinis paspaudimas","konteksta klikšķis","contextklik","høyreklikke","kliknięcie ~","clique contextual","menu de contexto do botão direito do rato","clic contextual","контекстный клик","kontextové kliknutie","kontekstni klik","контекстуални клик","högerklick","คลิกดูบริบท","bağlam tıklaması","контекстний клік","nhấp chuột theo ngữ cảnh","右键点击","右鍵點擊","","noun","[BM] The action of clicking the right mouse button while the cursor is over an element on the screen such as a block.",""
"","قالب حر الشكل","променливо блокче","bloc de forma lliure","univerzální blok","klods i frit format","Freiformblock","μπλοκ ελεύθερης μορφής","freeform block","free-form block","bloque de forma libre","bloque de forma libre","vapaamuotoinen kappale","freeform block","forme libre","मुक्त आकार ब्लॉक","blok nepravilnog oblika","szabad formájú tömb","blok bentuk bebas","blocco modellabile","בלוק ניתן לעיצוב","フリーフォーム ブロック","자유형 블록","laisvos formos blokas","brīvas formas bloks","blok met vrije vorm","friformsblokk","dowolna bryła","bloco livre (or bloco de forma livre)","bloco de forma livre","poliedru cu formă liberă","блок свободной формы","univerzálny blok","gradnik nepravilne oblike","блок прилагодљивог облика","friformsblock","บล็อกทรงอิสระ","serbest biçimli blok","блок довільної форми","khối tạo hình tự do","不规则砌块","自製建塊","","noun","[BM] A block allowing you to create free-form shapes by adding additional points",""
"","قوالب متقدمة","сложни блокчета","blocs avançats","komplexní bloky","avancerede klodser","erweiterte Blöcke","μπλοκ για προχωρημένους","advanced blocks","advanced blocks","bloques avanzados","bloques avanzados","tarkennetut kappaleet","advance na mga block","volumes complexes","उन्नत ब्लॉक","napredni blokovi","speciális tömbök","blok lanjutan","blocchi avanzati","בלוקים מתקדמים","その他のブロック","고급형 블록","išplėstiniai blokai","papildu bloki","geavanceerde blokken","avanserte blokker","bryły zaawansowane","blocos avançados","ferramentas avançadas","poliedre avansate","дополнительные блоки","komplexné bloky","napredni gradniki","напредни блокови","avancerade block","บล็อกสี่เหลี่ยมขั้นสูง","gelişmiş bloklar","додаткові блоки","khối nâng cao","高级砌块","進階建塊","","noun","[BM] all other tools. Currently there are only two advanced tools, the horizontal extrusion tool and the ramp tool. We called them advanced tools as they require more constraints to be set than other tools and do not have a common name for the menu stack - unlike the roof tools menu stack.",""
"Bila Kikomo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Google Play Music subscription service.",""
"","جملون","фронтон покрив","gablet","štít","gavl","Giebel","αέτωμα","gable","gable","gablete","gablete","päätykomio","gable","fronton","तिकोनी छत","sedlasti krov","nyeregtető","pelana","tetto a due spioventi","גמלון","ゲーブル（切り妻）","박공 지붕","dvišlaitis","divslīpņu jumts","puntgevel","gavl","dach","frontão","telhado de duas águas","acoperiș triunghiular","фронтон","sedlová strecha","zatrep","забат","gavel","หน้าจั่ว","üçgen çatı","фронтон","đầu hồi","山墙","山形屋頂","","noun","[BM] a triangular prism shaped roof (two vertical sides)",""
"","قالب أفقي حر الشكل","хоризонтално променливо блокче","bloc de forma lliure horitzontal","","vandret klods i frit format","horizontaler Freiformblock","οριζόντιο μπλοκ ελεύθερης μορφής","horizontal freeform block","","bloque horizontal de forma libre","bloque horizontal de forma libre","vaakasuuntainen vapaamuotoinen kappale","horizontal na freeform block","forme horizontale libre","क्षैतिज मुक्त अवस्था ब्लॉक","vodoravni blok nepravilnog oblika","vízszintes szabad formájú tömb","blok bentuk bebas horizontal","blocco modellabile orizzontale","בלוק חופשי אנכי","","수평 자유형 블록","horizontalus laisvos formos blokas","horizontāls brīvas formas bloks","","horisontal friformsblokk","dowolna bryła w układzie poziomym","bloco livre horizontal","bloco de forma livre horizontal","poliedru orizontal cu formă liberă","","horizontálny univerzálny blok","vodoravni gradnik nepravilne oblike","хоризонталан блок прилагодљивог облика","vågrätt friformsblock","บล็อกทรงอิสระแนวนอน","serbest biçimli yatay blok","горизонтальний блок довільної форми","khối tạo hình tự do theo chiều ngang","水平不规则砌块","","","noun","A horizontal block allowing you to create free-form shapes by adding additional points",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","افزایه","noun","Alternative spelling of plug-in. Software component that adds capabilities to a larger application. For example, a plug-in may allow a web browser to display a wider range of content than originally possible.",""
"sera ya programu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Legal document which describes Google policies related to user's use of a product, example: AdSense Publishers participating in the AdSense programme are required to adhere to AdSense Program Policies. Failing to comply with the policies may lead to disabling ad serving to publisher's site and/or disabling the AdSense account at any time.",""
"","محاذاة","подравнявам","alinear","zarovnat","justere","ausrichten","ευθυγράμμιση","align","align","alinear","alinear","kohdistaa","i-align","aligner","संरेखित करें","poravnati","illeszt","sejajar(kan)","allinea","ליישר","配置（する）","정렬하다","lygiuoti","izlīdzināt","uitlijnen","rette inn","dopasowywać","alinhar","alinhar","a alinia","выровнять","zarovnať","poravnati","поравнати","passa in","ปรับแนว","hizalamak","вирівняти","căn chỉnh","对齐","對齊","","verb","[BM] act of aligning blocks to photos (use in a non technical). Building Maker works by providing a user with aerial photographs that we know the position of in 3D space. The user created blocks on the image and aligns the blocks to match each image. This way a 3D representation of the object can be formed. Look at this sample video to give you an insight: http:/go/buildingmakervideo",""
"Sheria na Masharti ya Google","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Legal document containing the rules that apply to a service. Please use the same translation in '[Google] Terms of Service', 'Terms of Service', 'Terms and Conditions,' and ' Terms of Use'.",""
"Kompyuta kibao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","A mobile computer, typically featuring a touchscreen for data input.",""
"","مجموعة","колекция","col·lecció","sbírka","samling","Sammlung","συλλογή","collection","collection","colección","colección","kokoelma","koleksyon","collection","संग्रहण","zbirka","gyűjtemény","koleksi","raccolta","אוסף","コレクション","컬렉션","rinkinys","krājums","verzameling","samling","kolekcja","coleção","colecção","colecţie","коллекция","kolekcia","zbirka","колекција","samling","คอลเล็กชัน","koleksiyon","колекція","bộ sưu tập","模型集","模型集","","noun","A construct that allows a user to organize their models. Collections can be nested (e.g., World --> North America --> Colorado).",""
"","مسار النمذجة ثلاثية الأبعاد","Работна процедура при триизмерно моделиране","Creació de models en 3D","proces 3D modelování","Process for optagelse af 3D-modeller","Warteschlange für Überprüfung von 3D-Modellen","Κανάλι υποβολής τρισδιάστατων μοντέλων","3D modeling pipeline","3D modelling pipeline","Proceso de creación de modelos 3D","Creación de modelos 3D","3D-mallinnusprosessi","Pipeline ng pagmomodelo ng 3D","pipeline de modélisation 3D","3D मॉडलिंग पाइपलाइन","kanal za 3D modeliranje","3D modellezési folyamat","pemipaan model 3D","pipeline di modellazione 3D","תהליך להטמעת מודלים ב-3D","3D モデリング パイプライン","3D 모델링 파이프라인","3D modeliavimo struktūra","3D modelēšanas līnijas funkcija","3D-modelbouwproces","3D-modellinnsending","proces dodawania modeli 3D","Fluxo de Modelagem 3D","Pipeline de criação de modelos 3D","flux de lucru pentru modele 3D","other translations are also possible","predkladanie trojrozmerných modelov","postopek modeliranja 3D","процес за 3D моделирање","kanal för 3D-modeller","ช่องทางการส่งโมเดล 3 มิติ","3D modelleme süreci","процес подання й затвердження 3D-моделей","Kênh cung cấp mô hình 3D","3D建模管道","3D 建模管線服務","","noun","The process whereby an external user submits a digital 3D building model to Google that is then processed and reviewed for acceptance into Google Earth.",""
"","مصمم النماذج الجغرافية","автор на географски модели","modelador geogràfic","modelář geog","geografisk modelbygger","Geo-Modellentwickler","δημιουργός μοντέλου με γεωγραφικές πληροφορίες","geo-modeler","geo-modeller","modelador geográfico","modelador geográfico","maantieteellinen mallintaja","geo-modeler","géomodélisateur","भू-मॉडलर","geo-modelar","geomodellező","pemodel-geo","creatore di geomodelli","בונה מודלים גיאוגרפיים","ジオモデル作成者","지리 정보 모델 제작자","geografinių objektų modeliuotojas","ģeogrāfiska modeļa veidotājs","geomodelleerder","geomodelør","autor modeli geograficznych","criador de modelos geográficos","criador de modelos geográficos","modelator geografic","разработчик моделей","geo-modelár","geomodelar","географски моделар","geomodellerare","ผู้สร้างโมเดลภูมิศาสตร์","coğrafi modelci","розробник геомоделей","nhà xây dựng mô hình địa lý","地理建模者","地理建模者","","noun","A person who creates geo-models.",""
"","قالب سقف","покривно блокче","bloc de la teulada","střecha","tagklods","Dachblock","μπλοκ οροφής","roof block","roof block","bloque de tejado","bloque de tejado","kattokappale","bloke ng bubong","toiture","छत ब्लॉक","krovni blok","tetőtömb","blok atap","blocco tetto","בלוק גג","屋根ブロック","지붕 블록","stogo blokas","jumta bloks","dakblok","takblokk","bryły dachowe","bloco de telhado","bloco de telhado","acoperiș","блок крыши","strecha","strešni gradnik","блок крова","takblock","บล็อกหลังคา","çatı bloğu","блок даху","khối mái nhà","屋顶砌块","屋頂建塊","","noun","[BM] the overarching name for the roof block.",""
"","العرض","визуализатор","visualitzador","prohlížeč","visningsprogram","Ansicht","πρόγραμμα προβολής","viewer","viewer","visualizador","visor","esikatselu","viewer","visionneuse","दर्शक","preglednik","megjelenítő","penampil","visualizzatore","מציג","モデルを表示","뷰어","peržiūros priemonė","skatīšanās līdzeklis","viewer","visningsprogram","podgląd","visualizador","visualizador","ecran de vizualizare","средство просмотра","zobrazovač","pregledovalnik","приказивач","visningsprogram","โปรแกรมดูภาพ","görüntüleyici","засіб перегляду","trình xem","查看器","檢視器","","noun","[BM] A web version of Google Earth for viewing your Building Maker buildings.",""
"","سنام","скатен покрив","teulada a quatre aigües","valbová střecha","valmtag","Walmdach","κεκλιμένη σκεπή","hip","hip","techo a cuatro aguas","tejado a cuatro aguas","aumakatto","hip","ajouter une arête","हिप","skošeni krov","kontyolt tető","perisai","tetto a spigolo","גג משופע בכל הצדדים / מישור משופע / גג פירמידה","ヒップ（寄せ棟）","모임 지붕","keturšlaitis","četrslīpņu jumts","schilddak","valmtak","szczyt","espigão","telhado de quatro águas","acoperiş piramidal","вальма","valbová strecha","poševen zatrep","бок","valmtak","ทรงปั้นหยา","çatı kafesi","вальма","khe mái","屋脊","四坡屋頂","","noun","[BM] a roof tool (no vertical sides - all sides lean towards the middle)",""
"","التحرير","редактор","editor","editor","redigeringsværktøj","Bearbeiten","επεξεργασία","editor","editor","editor","editor","muokkausnäkymä","editor","éditeur","संपादक","radni prostor","szerkesztő","editor","editor","עורך","モデルを編集","편집기","redagavimo priemonė","redaktors","editor","redigeringsvindu","edytor","tela de edição","editor","editor","редактор","editor","urejevalnik","окно за измене","redigerare","ตัวแก้ไข","düzenleyici","редактор","trình chỉnh sửa","编辑器","編輯器","","noun","[BM] The second screen within Building Maker for creating and editing your building",""
"","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","KML","","noun","An XML grammar and file format for modeling and storing geographic features such as points, lines, images, polygons, and models for display in Google Earth and Google Maps.",""
"","خريطة Google للنماذج الثلاثية الأبعاد","Google Карта с триизмерни модели","Mapa de models 3D de Google","Mapa 3D modelů Google","Google 3D-modelkort","Google 3D-Modell-Karte","Χάρτης τρισδιάστατου μοντέλου Google","Google 3D Model Map","Google 3D Model Map","Mapa de modelos 3D de Google","Mapa de modelos 3D de Google","Google-mallinnekartta","Google 3D Model Map","modèle de carte Google 3D","Google 3D मॉडल मैप","Google karta 3D modela","Google 3D Modelltérkép","Model Peta 3D Google","mappa dei modelli 3D di Google","מפת Google 3DWeb","Google 3D モデルの地図","Google 3D 모델 지도","„Google“ 3D modelio žemėlapis","Google 3D modeļa karte","Google 3D Model Kaart","Google 3D-modellkart","mapa modeli 3D serwisu Google","Mapa de modelos em 3D do Google","Mapa de modelos 3D do Google","hartă modele 3D Google","Карта 3D-моделей Google","Google 3D Model Map","Google Zemljevid modelov 3D","Google 3D мапа модела","Google 3D-modellkarta","Google 3D Model Map","Google 3B Model Haritası","Карта 3D-моделей Google","Bản đồ Mô hình Google 3D","Google 3D 模型导览图","Google 3D 地圖模型","","noun","A map which displays the most recent, highest rated, or most popular models added to the 3D Warehouse.",""
"","قالب","блокче","bloc","blok","klods","Block","μπλοκ","block","block","bloque","bloque","kappale","bloke","volume","ब्लॉक","blok","tömb","blok","blocco","בלוק","ブロック","블록","blokas","bloks","blok","blokk","bryła (geometryczna)","bloco","bloco","poliedru","блок","blok","gradnik","блок","block","บล็อกสี่เหลี่ยม","blok","блок","khối","砌块","建塊","","noun","[BM] A 3 dimensional geometric shape used to represent some part of a building or structure. Often used in plural (blocks)",""
"","زخرفة بالصور","фототекстуриране","textura fotogràfica","texturování fotografiemi","billedstrukturering","Fototextur","προσθήκη υφής φωτογραφιών","photo texturing","photo texturing","textura fotográfica","textura fotográfica","valokuvapinta","pag-texture ng larawan","application de textures photo","फ़ोटो संरचना","postavljanje fotografske teksture","fénykép rászabása","penteksturan foto","texture foto","מרקם של תצלום","写真テクスチャ","사진 텍스처링","apipavidalinimas naudojant nuotrauką","fototekstūras izveide","fototextuur","fototekstur","nakładanie tekstur","texturização de foto","aplicação de texturas fotográficas","aplicare a texturii imagine","текстурирование фото","aplikácia/nanesenie fotografie (fotografií)","oblaganje s slikami","текстурисање сликама","strukturera bild","การกำหนดพื้นผิวด้วยภาพถ่าย","fotoğraf dokulandırma","текстурування фото","thêm hoạ tiết cho ảnh","照片纹理化","相片紋理化","","noun","[BM] The process of wrapping aerial images/photos on a building facade.",""
"","نموذج جغرافي","географски модел","model geogràfic","geografický model","geografisk model","Geo-Modell","μοντέλο με γεωγραφικές πληροφορίες","geo-model","geo-model","modelo geográfico","modelo geográfico","maantieteellinen mallinne","geo-model","Modèle géopositionné","भू-मॉडल","geo-model","geomodell","model-geo","geomodello","מודל גיאוגרפי","ジオモデル","지리 정보 모델","geografinio objekto modelis","ģeogrāfisks modelis","geomodel","geomodell","model geograficzny","modelo geográfico","modelo geográfico","model geografic","модель","geografický model","geomodel","географски модел","geomodell","โมเดลภูมิศาสตร์","coğrafi model","геомодель","mô hình địa lý","地理模型","地理模型","","noun","Mathematical representation of a geographical object.",""
"Baraza","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","A section, or tab, of the Gmail inbox that only contains messages from online groups, discussion boards, and mailing lists. Please use existing TC translations where possible. We will run a clean up post-naming if needed.",""
"Google Tafsiri","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Google's free online multilingual statistical machine-translation service that instantly translates text and web pages. See: translate.google.com",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","کمک‌های جنبی","noun","Feature name. Assists automatically suggests items for a user when using the Quick Create option in Calendar. With Assists, Calendar suggests titles, people and places as a user creates an event.",""
"","عناصر ذات صلة","сродни елементи","elements relacionats","související položky","relaterede elementer","verwandte Elemente","σχετικά στοιχεία","related items","related items","elementos relacionados","elementos relacionados","aiheeseen liittyvät","kaugnay na mga bagay","à découvrir également","संबंधित आइटम","srodne stavke","kapcsolódó elemek","butir terkait","elementi correlati","פריטים קשורים","関連アイテム","관련 항목","susiję elementai","saistīti vienumi","gerelateeerde items","relaterte elementer","podobne elementy","itens relacionados","itens relacionados","elemente cu conţinut similar","похожие элементы","súvisiace položky","povezani elementi","сродне ставке","länkade modeller","รายการที่เกี่ยวข้อง","İlgili Öğeler","пов’язані об’єкти","các mục có liên quan","相关项","相關項目","","noun","Models and collections that are in some way related to the current item (model or collection).  For example, a model of a desk might be related to other models of desks, or a model of a desk lamp.",""
"Sherehe kwenye Hangout","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","A Hangout video call between you and up to nine other people.",""
"Hangout Hewani","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Hangouts which are recorded and publicly broadcast.",""
"","نقطة ثابتة","крепеж","restricció","fixace","fiksering","Fixierung","περιορισμός","constraint","constraint","restricción","restricción","kiinnitetty kulma","naka-constrain","contrainte","स्थिर बिंदु","fiksna točka","rögzítés","kendala","punto bloccato","מקובע / מעוגן / נקודת השתלה","固定","고정점","apribojimas","fiksēts punkts","beperking","fiksering","blokada","restrição","ponto fixo (ANT: ponto livre)","punct fix","фиксированная точка","fixačný bod","fiksna točka","фиксирана тачка","fixering","จุดยึด","sınırlama","фіксована точка","điểm cố định","固定点","固定點","","noun","[BM] A point of a block that has been placed on a specific location, such as the corner of a building, in a 2D image. Points that are placed at a specific location do not move when other points are moved and are said to be constrained. Points that are not fixed are unconstrained. The color of a block is orange when all points are unconstrained, and blue when at least one point is constrained.",""
"","منحدر","скат","rampa","rampa","rampe","Schräge","ράμπα","ramp","ramp","rampa","rampa","ramppi","rampa","rampe","रैम्प","rampa","rézsű","tanjakan","rampa","רמפה","ランプ","경사면","nuožulnioji plokštuma","slīpne","hellend vlak","rampe","rampa","rampa","cunha","poliedru cu partea superioară înclinată","рампа","rampa","poševni okvir","рампа","ramp","กล่องที่เอียงลาดด้านบน","rampa","рампа","đường dốc","斜面体","斜面體","","noun","[BM] inclined top box",""
